Latitude	Longitude
31.827867	-106.362304
31.827933	-106.298542
31.827969	-106.362423
31.828014	-106.298794
31.828071	-106.362537
31.828097	-106.299045
31.828175	-106.362649
31.828182	-106.299298
31.828266	-106.29955
31.828281	-106.362757
31.82835	-106.299801
31.828386	-106.362866
31.828435	-106.300054
31.828488	-106.362973
31.82852	-106.300307
31.828586	-106.363079
31.828604	-106.300559
31.828684	-106.36318
31.828688	-106.300814
31.82877	-106.30107
31.82878	-106.363279
31.828854	-106.301329
31.828873	-106.363376
31.82894	-106.301591
31.828969	-106.363468
31.829025	-106.301857
31.829062	-106.363556
31.82911	-106.302122
31.829152	-106.36364
31.829196	-106.302386
31.829239	-106.363725
31.829284	-106.30265
31.829329	-106.363809
31.829369	-106.30292
31.829418	-106.363889
31.829456	-106.303191
31.829503	-106.363969
31.829543	-106.303461
31.82959	-106.364056
31.829632	-106.303731
31.829666	-106.364151
31.82972	-106.304003
31.829748	-106.364226
31.829807	-106.304279
31.82982	-106.364295
31.829894	-106.304553
31.829895	-106.364355
31.829958	-106.364412
31.829984	-106.304828
31.830015	-106.364474
31.830071	-106.36454
31.830073	-106.305104
31.83012	-106.364597
31.830163	-106.305378
31.830173	-106.364647
31.830225	-106.364697
31.830252	-106.305652
31.830274	-106.36474
31.830325	-106.364773
31.830341	-106.305926
31.830383	-106.364784
31.830428	-106.306197
31.83043	-106.364786
31.830471	-106.36477
31.830499	-106.364745
31.830516	-106.306463
31.830523	-106.364718
31.830542	-106.364697
31.830542	-106.364696
31.830542	-106.364695
31.830543	-106.364695
31.830543	-106.364694
31.830544	-106.364696
31.830544	-106.364695
31.830544	-106.364692
31.830545	-106.364695
31.830545	-106.364694
31.830545	-106.364691
31.830545	-106.36469
31.830546	-106.36469
31.830547	-106.364689
31.830547	-106.364688
31.830548	-106.364687
31.830549	-106.364685
31.830549	-106.364684
31.83055	-106.364683
31.830553	-106.364682
31.830556	-106.364678
31.830559	-106.364673
31.830564	-106.364668
31.830573	-106.364664
31.830577	-106.364661
31.830577	-106.364654
31.830583	-106.364642
31.830591	-106.364621
31.830601	-106.306731
31.830614	-106.364586
31.830646	-106.364542
31.830687	-106.364486
31.830687	-106.306997
31.830736	-106.364417
31.830771	-106.307262
31.830797	-106.364333
31.830856	-106.307523
31.830866	-106.364238
31.83094	-106.307784
31.830945	-106.36413
31.831026	-106.308044
31.83103	-106.364009
31.831111	-106.308301
31.831122	-106.363879
31.831197	-106.308561
31.83122	-106.363738
31.831283	-106.308818
31.831323	-106.363579
31.831365	-106.309074
31.831429	-106.363406
31.831449	-106.30933
31.831529	-106.309582
31.831538	-106.363222
31.831607	-106.309837
31.831651	-106.363032
31.831689	-106.31009
31.831762	-106.362834
31.831774	-106.310338
31.831856	-106.310589
31.831868	-106.362636
31.831936	-106.310843
31.831979	-106.362427
31.832018	-106.311094
31.832094	-106.362223
31.832097	-106.311342
31.832178	-106.311597
31.83221	-106.362014
31.83226	-106.311854
31.832332	-106.36181
31.832345	-106.312107
31.832428	-106.312361
31.832462	-106.361609
31.832514	-106.312617
31.832587	-106.36141
31.832596	-106.312871
31.832678	-106.313124
31.83272	-106.361216
31.832759	-106.313378
31.832842	-106.313633
31.832855	-106.361021
31.832922	-106.313888
31.832988	-106.360826
31.833003	-106.31414
31.833083	-106.314394
